github_repository_id,opening_name,closing_name,opening_class,closing_class,visibility_observed,role,assessment,priority,observed,next_action,acceptance,source_read_level,cvp_acceptance,source_ids
1069864709,zz-pause-ref-472P2FlameWar,zz-pause-ref-472P2FlameWar,paused-reference,paused-reference,private,Historical coursework/reference,CUSTODY ONLY,P2,The document has pause/retired boilerplate rather than an active product contract.,Keep protected reference material and provenance; resolve any uncertainty outside the repository before changes.,Historical identity and recovery are documented; no regression or CVP claim is invented from an inactive course project.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S298
1077977094,zz-aa-dep-AgentApiPlusPlus,zz-aa-dep-AgentApiPlusPlus,dependency,dependency,public,Maintained agent-process API fork,CONFLICTING RETAIN/DELETE INSTRUCTIONS,P0,"The README simultaneously says owned hard-fork dependency, do not pause/delete/archive/merge, and migrated to substrate with future deletion.",Reconcile one current decision and actual substrate/process-control consumers. Preserve upstream and local history and prove any claimed replacement is semantically equivalent.,"Real agent lifecycle, stream and error contracts work on pinned versions; no destructive transition is derived from the obsolete paragraph.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S284
1159182006,zz-aa-dep-CliproxyApiPlusPlus,zz-aa-dep-CliproxyApiPlusPlus,dependency,dependency,public,Maintained provider proxy fork,KEEP AS A DEPENDENCY WITH AN EXPLICIT DELTA,P2,The retained header and fork attribution are relatively clear: provider routing/auth/quota/diagnostics extensions of router-for-me/CLIProxyAPI.,"Publish the intentional patch set, upstream base, real consumer pins and install/update policy. Avoid duplicating upstream claims as evidence for the fork.",Authentic provider streaming/cancellation/auth/limit cases pass; documented integrations resolve; fork-network history is protected.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S285
1162254344,Tracera,Tracera,active-named,active-named,public,Persistent product/system graph and gap discovery,RECONCILE PRODUCT IDENTITY; THEN QUALIFY,P1,"Its current README foregrounds observability, audit and session memory rather than the user-confirmed canonical product graph. The latest inspected GitHub release is v0.49 (September 3), a scorecard checkpoint with a Windows archive and manifest, not evidence of the full desired desktop product.","Keep the graph identity and automatic dissatisfaction/gap detection explicit. Exercise one persistent product-model journey; preserve evidence links as a supporting view, not a replacement identity.","Import a real product, traverse bounded component detail, expose a genuine missing/failed capability, link evidence, restart and retain state. Validate actual installed/hosted frontend against actual backend.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S244;S310
1162255140,zz-pause-Thegent,zz-pause-Thegent,paused,paused,public,Paused mixed bootstrap/labor/agent runtime,RETAIN PAUSE; DO NOT INHERIT ITS BROAD AUTHORITY,P2,"The pause header coexists with 100% spec/test/trace, 60% active runtime and a broad dotfiles/bootstrap/multi-agent hub description.",Preserve the latest restrictions and identify any existing consumers that need compatibility maintenance. Extract no new canonical authority from completion percentages.,Current role and supported retained interfaces are explicit; historical labor/strategy intent remains traceable; no background worker resumes new product work from stale ACTIVE text.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S273
1164684442,Civis,Civis,active-named,active-named,public,Persistent systemic game,CLOSE THE PLAYER BUILD,P1,"A source diff adds archive persistence for culture/ideology/aggression/unrest and real round-trip assertions. The Mac builder still selects only bevy,egui,client-bins and tolerates missing assets. Latest stable GitHub release v0.5.0 (September 5) exposes three CLI archives, not a current qualified game app.","Pin a game-first candidate, required presentation profile and asset manifest. Close the world-create/play/intervene/save/reopen journey before widening mechanics. Reconcile old global-determinism and research-only claims with current intent.","Install outside the checkout, launch through the OS, show real renderer/animation/audio, mutate a populated world, save/restore meaningful state, and prove bounded unattended continuation. Native visual review and performance under load are required.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S236;S300;S301;S302;S305
1164684829,zz-pause-Parpoura,zz-inc-Parpoura,paused,incubation-named,private,Founder/venture and governance lineage; incubation-name transition,VERIFY SEMANTIC SUCCESSOR BEFORE ANY RETIREMENT,P0,"Earlier README says paused and migrated research documents to ResearchLedger, with venture Python superseded by AgilePlus and future deletion. Closing name is zz-inc-Parpoura; the new intended contract was not retrieved.",Reconcile the scoped incubation/retirement decision. Separate copied research from executable venture behavior and verify any claimed successor with a matched consumer case.,Every retained capability has explicit source/target responsibility and evidence; paused/retained obligations and new incubation are not conflated.,bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S275;OBS-CLOSE
1164703420,zz-pause-QuadSGM,zz-inc-QuadSGM,paused,incubation-named,private,Governance template/history; incubation-name transition,CHARTER BEFORE RESTART,P2,"Earlier header pauses a Python governance/template system with task, docs and QC tooling. Closing list now says zz-inc-QuadSGM; the corresponding decision was not established.",Determine whether a bounded independent experiment is intended or the material remains reference for existing tools. Do not create a second portfolio policy authority.,"Document one authorized experiment, inputs/outputs and relationship to current tooling; preserve history and avoid conflicting enforcement.",bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S278;OBS-CLOSE
1165315873,helios-cli,helios-cli,active-named,active-named,public,Codex-derived CLI / harness workspace,RESOLVE WHAT THE SHIPPED BINARY IS,P1,The README says the root workspace is the harness system and excludes vendored codex-rs/codex-cli. Root workspace success therefore does not establish a functioning Codex-derived coding agent.,Name the actual installable product and build root. Separate reusable harness packages from the agent executable while retaining their integration contract.,"A clean install uses the advertised binary to read a repository, edit an allowed file, run real tests, refuse prohibited scope, survive a tool error, and resume a session.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S248
1165351720,portage,portage,active-named,active-named,public,Harbor-derived evaluation framework,RUN A REAL EVALUATION,P1,"The README carefully distinguishes upstream PyPI from this fork and optional Rust bridge support, but still instructs cloning portage-TEMP. Static oracle badges and suite-info commands do not prove useful benchmark execution.",Correct the consumer install target and run one real agent/environment benchmark with a deliberately failing candidate and missing-extra case.,"Clean fork install, task execution, trustworthy pass/fail reward, retained logs, cancellation and resource limits; optional bridge unavailability must be explicit.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S250
1167587447,HeliosLab,HeliosLab,active-named,active-named,public,Currently a config/flags/secrets phenoctl workspace,RECONCILE SCOPE AND DEPENDENCIES,P0,"The README simultaneously says 65%, 80%, stable and a desktop/journeys lab, while the manifest confirms six config-oriented crates. It depends on old clap-ext and PhenoObservability locations; clap-ext returned 404 in this pass.",Resolve whether this is the intended agent workbench or a config product without erasing useful code. Repoint only after verifying source/API equivalence and accepted ownership.,Clean supported-toolchain build without retired private caches; config/flag/secrets workflows persist correctly and do not disclose secrets; then prove the actual chosen UI/CLI product.,bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S249;S315
1169608854,AgilePlus,AgilePlus,active-named,active-named,public,Reusable repository-scoped work/spec tooling,REPAIR FALSE ASSURANCE BEFORE ACCEPTANCE,P0,"Coverage CI enforces 20% Rust lines, prints Go coverage without a threshold, and the aggregate 85% gate echoes success without evaluating artifacts. README includes static 100% claims and an incompatible shelf identity. Latest published release titled Installers + green tests has zero uploaded assets.","Implement independent suite/metric denominators and failure propagation, remove unrelated portfolio content, and publish a real scoped CLI/MCP/desktop candidate through its actual local state contract.",Unit/integration/E2E and other required families meet accepted floors; critical obligations all pass. Separate subjects remain isolated; live engine receipts back transitions; clean installation and real UI/MCP CRUD succeed.,bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S238;S239;S309
1169864396,PhenoDesign,PhenoDesign,active-named,active-named,public,Shared design and asset foundation candidate,RESTORE AN UNAMBIGUOUS ROLE,P1,The active-named repository still consists of an archived/migrated notice dated July 29 with no concrete successor. This is not a usable design-system handoff.,"Inventory retained editable assets, tokens, licenses and actual consumers. Resolve ownership; do not regenerate the brand or create a new library solely to replace missing documentation.",Two real consumers use versioned tokens/components or asset exports; editable sources and licensed inputs are traceable; visual baselines and no-color/accessibility rules exist.,bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S251
1177712269,Dino,Dino,active-named,active-named,public,DINOForge game mod platform and companion,QUALIFY THE INSTALLED GAME PATH,P1,"The README claims broad pack/asset/bridge/companion capability, 3,613+ tests and 95%+ coverage, but its status section is a development milestone summary. Those claims were not independently reproduced.",Use the supported installed game and actual companion build to exercise one substantial pack; keep private/game dependencies explicit.,"Clean install, pack validation, runtime ECS/asset integration, UI interaction, save compatibility, hot reload or clear restart, and clean disable/uninstall. Required assets and failure logs are retained.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S252
1185005735,zz-aa-dep-UnityDoorstop,zz-aa-dep-UnityDoorstop,dependency,dependency,public,Unity early managed-loader fork,RETAIN PREBOOT/LOAD ORDER CONTRACT,P2,The fork exposes Unity Doorstop as an early .NET assembly loader with upstream workflow/artifact references.,Pin the actual build consumed by Dino or other mods and document loader/runtime compatibility and local patches.,"The supported game/runtime loads the correct managed entrypoint once, fails safely when missing/incompatible, and preserves upstream notices and provenance.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S289
1191459198,sharecli,sharecli,active-named,active-named,public,OS-adjacent process/resource supervisor,RESOLVE DUPLICATE AUTHORITY; SHIP CURRENT CANDIDATE,P0,"Its core source has the exact same blob in PhenoTooling and the standalone repo; PhenoTooling registers the copied crates. Latest inspected stable release is v0.3.0, published July 5, with Mac ARM/Linux archives uploaded July 14. Current source/UI claims must not be attributed to that release without a diff.",Name one source/release owner or explicit synchronized distribution contract. Then prove the current supervisor under realistic concurrent agent/background/foreground workloads.,"No inappropriate command coalescing, secret/cache cross-talk or stuck children; cancel/retry/failure semantics survive; real native tray/CLI installs and resource limits protect foreground use.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S243;S306;S312;S313;S314
1194326424,zz-aa-dep-Planify,zz-aa-dep-Planify,dependency,dependency,public,Plane-derived PM dependency/candidate,PRESERVE; RESOLVE OUTDATED PRODUCT COMPARISON,P2,"The dependency header coexists with a June PM-frontend competition against AgilePlus and Tracera, with no newly established decision in this read.","Keep source provenance and licensing; identify actual consumers and whether this is an adapter, maintained fork or an approved future UI experiment.",Pinned build and required API/upgrade contracts work. Do not let the old competition statement redefine Tracera or AgilePlus today.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S286
1199812615,zz-pause-GitHub,zz-pause-GitHub,paused,paused,public,Historical special-name account defaults repository,PRESERVE; CHECK PUBLICATION RESPONSIBILITY ELSEWHERE,P2,"The paused README refers to the old .github repository and says archived/retired, while platform metadata says unarchived.","Separate authored account policy from any necessary specially named GitHub publication surface. Do not recreate, rename or enable workflows without the accepted owner decision.",Required default community files and workflow references are intentionally provided or intentionally absent; historical code is preserved and no inferred redirect is used as proof.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S282
1200273587,zz-tbd-Pheno,zz-tbd-Pheno,target-undecided,target-undecided,public,Unresolved organizational shelf,DO NOT USE AS AN UNADJUDICATED ABSORPTION TARGET,P0,"The README calls it a shelf of about 30 independent repositories and adds a TBD merge-target header. That is a workspace organization model, not proof of one coherent product or canonical implementation.","Inventory nested Git roots, separate dirty work and retained artifacts, and record a component-level destination map. Resolve the existing ban/exception history before any new imports.",Every source capability and independent history is mapped; no recursive copy loses a nested repository; one approved owner per component; no deletion or broad merge authorization is implied.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S271
1201113097,PhenoRegistry,PhenoRegistry,active-named,active-named,public,Curated portfolio identity/projection tooling or data authority,REPAIR THE LIVE MAP,P0,The root advertises 111 repositories and retired authorities. Search surfaces copied platform work templates still referring to approximately 170 repositories. Neither is the current 62-ID roster.,Generate a current ID/name/role projection and attach scoped accepted decisions; separate GitHub observations from intended roles and mutable work state.,"Renames retain identity, missing access is not deletion, paused/dependency/TBD classes are explicit, every advertised owner resolves, and stale facts are visibly dated.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S228
1201987910,PhenoAI,PhenoAI,active-named,active-named,public,AI library/provider workspace with newly absorbed device code,RECONCILE EXPANDED BOUNDARY,P0,"README says three AI crates, while Cargo.toml lists routing, embeddings, Eidolon device crates, PlayCua native code and more. Resolver 3 is selected alongside a declared Rust 1.75 floor; official Cargo docs require Rust 1.84+ for resolver 3.","Establish which packages are reusable AI primitives, device adapters or product code, and who writes/releases each. Make toolchain claims executable rather than upgrading the label alone.","Clean minimum-toolchain matrix, one authorized provider/MCP/embedding consumer path, negative credential and cancellation cases, and no competing independent Eidolon implementation without a declared contract.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S245;S316;W03
1214745478,PhenoMLX,PhenoMLX,active-named,active-named,public,OMLX-derived inference and research application,QUALIFY A SELF-CONTAINED INFERENCE PROFILE,P1,"The current README still depends on an installed /Applications/oMLX.app environment, local Python injections and adjacent research checkouts. It distinguishes some CPU-only/placeholder work, but broad performance claims are not qualification evidence.",Select one supported model/backend and produce a reproducible extension or self-contained install with explicit upstream/fork identity and research boundaries.,"Clean install, model load/inference/cancel/unload/restart, memory-pressure/OOM handling, valid credential and data paths, and measured quality/performance using the actual shipped artifact.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S246
1220333985,PhenoTooling,PhenoTooling,active-named,active-named,public,Reusable developer/verification tooling collection,TRUST AND OWNERSHIP REPAIR,P0,"The root remains a Genesis scaffold description, while the workspace contains many absorbed systems including Journeys, ShareCLI, eye tracking and orchestration. docs-health has three implementation TODOs, returns empty findings and an empty smoke test.",Qualify the actual gate commands and identify per-package writer/release/consumer ownership. Preserve richer local intent systems; do not turn the collection into a universal product registry.,Seeded broken input fails locally and in CI; nonzero errors propagate; missing backends are not green; an unrelated repo can use each published tool without copying the portfolio.,bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S232;S304;S312;S313
1220334053,PhenoInfra,PhenoInfra,active-named,active-named,public,Infrastructure/runtime composition home,PROVE CONSUMER CLOSURE,P0,"The README still describes nanovms, PhenoCompose and BytePort consolidation. The old nanovms endpoint/ID is unavailable through this connection, while active consumers still reference it. The intended post-migration ownership is not demonstrated by this README.",Map runtime/FFI/manifest packages to their accepted homes and all affected consumers; separate deploy configuration from product implementation.,"An authorized clean runtime provision/run/stop/cleanup path works; FFI ABI, source provenance, storage custody and rollback are verified. No schema or package is substituted merely because its name matches.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S242
1220437668,Eidolon,Eidolon,active-named,active-named,private,Cross-platform device automation and sandbox interfaces,QUALIFY EXPLICIT LIVE DRIVERS,P1,"A detailed matrix distinguishes real, feature-gated and unsupported paths; REST daemon and crates publication are explicitly not shipped. Older 90%/alpha language coexists with that more useful matrix. PhenoAI now lists Eidolon crates too.",Preserve the honest capability matrix and resolve the active source owner. Finish one consented desktop automation/recording path and one defined isolation path before more backends.,"Real screenshot/input/state checks under permissions; denial, lost display, absent runtime and unsupported platform fail explicitly. Do not confuse requested sandbox policy with introspected enforcement.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S253;S316
1220449881,zz-pause-FocalPoint,zz-pause-FocalPoint,paused,paused,public,Paused repository with ambiguous product lineage,DO NOT TREAT IT AS PROVEN SCREEN-TIME SUCCESSOR,P0,The header says paused and absorbed into PhenoTooling; the underlying description is dependency management. This differs from the FocalPoint product in PhenoApps.,"Resolve by repository IDs, historical paths and actual component/API behavior. Preserve distinct histories until the transfer map proves what each contains.",No product feature or user data is declared redundant solely because the repository name matches. Any consumer migration passes a real test.,bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S277;S269
1226104769,forgecode,forgecode,active-named,active-named,public,HeliosLite coding-agent CLI fork,INTEGRATED; RELEASE INSTALL PATH OPEN,P1,"The previous h0.1.7 promotion PR #277 is now merged into main. The current README claims a separate heliosLite canonical repository/package. Latest GitHub release v2.13.21-h.0.2.1, September 15, has no uploaded assets; package registries were not audited.",Select the actual install/update channel and immutable artifact. Reconcile binary/brand aliases and legacy session behavior without rewriting old conversation stores.,"Installed fork, not accidental upstream binary, passes task execution and SSE failure/reconnect; legacy/foreign sessions remain read-only; recall/forget honor scope; update/rollback preserves state.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S254;S307;S311
1226168548,zz-aa-dep-Bifrost,zz-aa-dep-Bifrost,dependency,dependency,public,Maintained Go AI gateway fork,KEEP CONSUMER-LED MAINTENANCE,P2,The retained header preserves maximhq/Bifrost attribution; the remaining large product claims and package routes largely describe upstream.,"Establish fork delta and exact deployed/imported versions in the route family, especially duplicated routing responsibility with OmniRoute and substrate.","Representative request, stream, fallback, quota, permission and failure behavior is tested on the owned revision; package identity remains explicit.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S287
1226171396,OmniRoute,OmniRoute,active-named,active-named,public,Maintained upstream-derived AI gateway/contribution fork,QUALIFY THE FORK DELTA,P1,The root is upstream-facing and advertises extensive provider/free-tier budgets and upstream releases. Those marketing numbers were not revalidated and do not establish your own fork deployment or accepted contribution state.,"Separate upstream contributions, local fork integration, deployed instance and user-installed version. Prove the local routing changes against selected real providers with protected credentials.","Provider auth, streaming, fallback, quota accounting, cancellation and update/recovery behave correctly. External terms/quotas remain source-dated claims, not invented guaranteed free capacity.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S255
1226264690,zz-pause-ref-NetWeave,zz-pause-ref-NetWeave,paused-reference,paused-reference,private,Paused traffic/network simulation reference,PRESERVE A REUSABLE IDEA WITHOUT FORCED ABSORPTION,P2,"The source describes a Go traffic/road-network simulator and Canvas UI, with education, planning and possible game use under a pause header.","Retain as reference. A future Civis reuse proposal must identify the exact algorithm and contract, not import an entire traffic product by analogy.","Source and provenance remain available; no new engine scope, deleted duplicate or release obligation is inferred from conceptual relevance.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S299
1226547140,Pine,Pine,active-named,active-named,public,Experimental application compatibility runtime,"RESEARCH, NOT A GENERAL COMPATIBILITY CLAIM",P2,The README simultaneously says 70% and 25% pre-alpha. It declares a very broad Wine-equivalent goal but lists unresolved translation/isolation questions and five foundation crates.,"Keep the larger research intent, but select one explicit binary/API/platform compatibility experiment. Reuse established components where beneficial rather than promising arbitrary cross-OS execution.","One real previously unsupported test program runs with correct observable behavior and bounded failures; reference semantics, supported imports and overhead are documented. No generic CVP label from compilation alone.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S256
1241972761,WorldSphereMod,WorldSphereMod,active-named,active-named,public,WorldBox 3D hard fork,CLOSE THE ACTUAL IN-GAME RENDER PROFILE,P1,"The README usefully distinguishes CODE_LANDED from PROVEN, but names a local wip/208-height-fix branch as canonical while remote main is the inspected baseline. Many presentation features remain off or asset-bake deferred.",Reconcile the actual game-tested branch and package. Verify Compound-Spheres provenance and consumer pin before enabling or pruning renderer variants.,"Installed mod displays the declared entities/terrain/water/lighting/UI on the supported game version; no asset fallbacks hide missing content; save/reload, disable and uninstall are tested.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S257
1262466303,Melosviz,Melosviz,active-named,active-named,public,Music visualization studio and native/web shells,"QUALIFY REAL MEDIA, NOT DEMO OUTPUT",P1,"The README offers a deterministic offline demo and an Electrobun app path, but its production stack mentions a C4D stub. Demonstrating a generated ZIP does not prove the real media/rendering path.",Choose a real audio track and supported production renderer/backend; package a native app or correctly deployed web profile with explicit optional-service handling.,"Import, analyze, play/sync, edit preset, render/export, reopen and recover from a backend failure; validate audio/video output rather than file existence; capture an authentic polished app journey.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S258
1269596554,substrate,substrate,active-named,active-named,public,AI dispatch gateway and TUI,BOUND ROUTING OWNERSHIP AND QUALIFY,P1,"The README presents a concise runtime contract: SSE, retries, fallback, budgets, metrics and admin API. AgentApiPlusPlus separately claims both retained dependency status and absorption into substrate.",Distinguish model-provider routing from control of agent processes. Declare the retained dependency/adapter contract and prove one safe gateway session end to end.,"Authentic streaming/cancel/failure cases, no duplicate charges or replayed unsafe requests, admin authorization, budget continuity and bounded logs. Do not certify production from /health alone.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S259;S284
1269695199,PhenoLab,PhenoLab,active-named,active-named,private,Reproducible evaluation/lab consumer,RUN AND AUDIT A REAL BENCHMARK,P1,The root still says pheno-harness and instructs a specs submodule/portage-TEMP installation. It distinguishes itself from the Harbor product but cites historical oracle/status claims rather than new execution evidence.,Resolve install/submodule dependencies and run a seeded positive and known-negative evaluation in the supported environment; inspect current oracles rather than assuming prior fixes persisted.,"Source/config/model versions, inputs, results, failures, costs and artifacts are reproducible. Missing implementation/environment cannot silently skip required acceptance and produce success.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S260
